Composition,amass,E_negativity,VEC,atomic_radius,metallic_radius,enthalpy
Y,88.90585,1.22,3,1.8,1.8,0.0
Hf,178.49,1.3,4,1.55,1.58,0.0
Zr,91.224,1.33,4,1.55,1.602,0.0
Sc,44.955912,1.36,3,1.6,1.641,0.0
Ta,180.94788,1.5,5,1.45,1.47,0.0
Ti,47.867,1.54,4,1.4,1.462,0.0
Nb,92.90638,1.6,5,1.45,1.473,0.0
V,50.9415,1.63,5,1.35,1.347,0.0
Mo,95.94,2.16,6,1.45,1.402,0.0
W,183.84,2.36,6,1.35,1.41,0.0
C,12.0107,2.55,4,0.7,0.7,0.0
